PK,CLIENT,CITY,State,Country,Contact
CL074,AETN Networks,New York,NY,USA,Liz Morgan
CL027,Audible.com,New York City,NY,United States,
CL064,Bayrischer Rundfunk,Munich,,Germany,Andreas Suttner
CL030,BBDO Dusseldorf,Dusseldorf,,GERMANY,Leonie Nieberding
CL047,Beda Senn,Zürich,,Switzerland,Beda Senn
CL050,Brand Cru,Northport,NY,USA,Frederick Rescott
CL024,Bumpboxx,Los Angeles,CA,United States,
CL002,Cineflix Canada,Toronto,,Canada,
CL009,Cineflix NY,New York City,NY,United States,
CL048,Clipfilm,Berlin,,Germany,Sebastian Pehl
CL052,Digital Eye Films,Northampton,MA,USA,PJ Moynihan
CL078,Digitas Health,,,,
CL022,Dream Media,New York,NY,United States,
CL041,Dream Media,New York,NY,USA,Greg Hochmuth
CL019,Dreamworks Animation,Los Angeles,CA,United States,
CL021,Eco-Zdf,Munich,,Germany,
CL039,ETHOS Marketing,West Brook,ME,USA,Justin Lumiere
CL058,Evolution Media,Los Angeles,SA,USA,Stefan Wallach
CL031,Extreme Reach,New York,NY,USA,John Goot
CL055,Fanzone Media,Berlin,,Germany,Bjorn Hesse
CL059,Film Dimensionen Berlin,Berlin,,GERMANY,Andreas Volter
CL015,Freelance,Various,,,
CL010,Haus Internal,,,United States,
CL032,HAUS PROMOTIONAL CAMPAIGN,,,,
CL076,HAVAS Worldwide NY,New York,NY,USA,Lisa Oropallo
CL081,Haymaker East,New York,NY,USA,Liz Cuevas
CL040,Hingham Maritime,Hingham,Ma,USA,Sarah Hegge
CL034,Hogarth Worldwide,London,,United Kingdom,KatherineFelstead
CL042,Hogarth Worldwide,London,,United Kingdom,Robbie Walker
CL003,Jupiter Entertainment,Knoxville,TN,United States,
CL060,Kabel1,Berlin,,GERMANY,Jörg Lehmann
CL068,Karl Westman,New York,,USA,Karl Westman
CL004,Left Right TV,New York City,NY,United States,
CL065,Looney Advertising,Brooklyn,NY,USA,Daniel Sexton
CL033,Melillo Music,New York,NY,USA,John Melillo
CL062,Mion Films,Prague,,Czech Republic,Mikal Matulik
CL046,Mullen Lowe US,New York,NY,USA,Jacob Vogt
CL037,MultiVision,New York City,NY,USA,Eduardo Vianna
CL056,Music Please Consulting,Hamburg,,Germany,Maria Buschuew
CL057,NBCUniversal,New York,NY,USA,Samuel Nathanson
CL025,NDR,Berlin,,Germany,
CL051,NDR Television ,Berlin,,Germany,Alex Wittlowski
CL069,Nick Koromplias,New York,NY,USA,Nick Koromplias
CL044,North Note,London,,United Kingdom,Adam Smith
CL013,Nutopia,London,,Great Britain,
CL012,Odd NY,New York City,NY,United States,
CL035,OGILVY BERLIN,Berlin,,Germany,Georg Ilse
CL045,Path Eight Productions,Boston,Ma,USA,Pat Henderson
CL061,Platinum Rye,Brooklyn,NY,USA,Jason Blaine
CL036,PRIMM Advertising,Norfolk,Va,USA,Matt Jefferson
CL079,PUBLICIS Health.Pfizer,New York,NY,USA,Sarissa Kornbach
CL080,PUBLICIS New York,New York,NY,USA,Seth Gorenstein
CL072,QUIRK Creative,Brooklyn,NY,USA,Regan Trenchard
CL029,Scoppechio Advertising,Louisville,KY,USA,Thom Little
CL007,Scott Sternberg Productions,Los Angeles,CA,United States,
CL038,See.Spot.Cut Production,New York,NY,USA,Jordan Podos
CL049,SEEZ,Raleigh,NC,USA,Jason Barclay
CL075,"Sexy, Sexy Science",Brooklyn,NY,USA,Jane Miller
CL067,Sholz + Friends,Berlin,,Germany,Julian Krohn
CL026,Six + One,New York,NY,United States,
CL043,Small Army,Boston,Ma,USA,Jonelle Murphy
CL014,Sonar Entertainment,Los Angeles,CA,United States,
CL020,SRF Network,Zurich,,Switzerland,
CL071,Studio L',Berlin,,Germany,Livia Ritthaler
CL018,Ten Volt Consulting,Ottawa,,Canada,
CL073,Truly Original,New York,NY,USA,Liz Cuevas
CL054,Uhura,Berlin,,GERMANY,Denise Mueller
CL053,Underhill Studios,New York,NY,United States,
CL077,VMLY&R,,,,
CL008,Weinberger Media,New York City,NY,United States,
CL063,zK FIlms,,,Germany,
CL066,Zum Goldenen Hirschen,Berlin,,Germany,Julia Diehl
