PK,SKUROOT,TITLE,AVID COMMENTS
PL3718,R25a1691,Renegade On Heels,COUNTRY - Hick Hop - Serious - Funky - Fast (111-130 BPM) - Cowboy Troy - Em
PL3718,R53a1651,Git In Yer Pickup,COUNTRY - Country Rock - Positive - Happy - Medium (90-110 BPM) - Shania Twain - E
PL3718,R59b0041,Woof Woof,COUNTRY - Pop Country - Chill - Melancholic - Medium (90-110 BPM) - Taylor Swift - A
PL3718,R93a0071,Young Dreamer,COUNTRY - Pop Country - Positive - Upbeat - Medium (90-110 BPM) - Taylor Swift - A
PL3718,S71a0102,Sun And Strum,COUNTRY - Pop Country - Positive - Fun - Medium (90-110 BPM) - Toby Keith - E
PL3718,S71a0112,Yard Work,COUNTRY - Pop Country - Positive - Happy - Medium (90-110 BPM) - Taylor Swift - Bb
PL3718,R48a1502,Rummage Sale,COUNTRY - Pop Country - Positive - Happy - Medium (90-110 BPM) - Taylor Swift - A
PL3718,S80a0122,Rock The Rodeo,COUNTRY - Pop Country - Positive - Joyous - Medium (90-110 BPM) - Taylor Swift - Em
PL3718,S60a7482,Beauty In Me,POP - Acoustic - Rock - Positive - Happy - Medium (90-110 BPM) - Jason Mraz - G
PL3718,S87a0032,Starlust,POP - Electropop - Positive - Hopeful - Medium (90-110 BPM) - Taylor Swift - A
PL3718,S85a1472,Son Of Kentucky,COUNTRY - Country Rock - Positive - Confident - Medium (90-110 BPM) - Garth Brooks - D
PL3718,S87k0022,Homecoming,COUNTRY - Acoustic - Pop Country - Positive - Happy - Medium (90-110 BPM) - Taylor Swift - C
PL3718,S85a2042,I Walked A Country Mile,COUNTRY - Country Rock - Positive - Happy - Medium (90-110 BPM) - Mark Knopfler - C
PL3718,S85a2052,Rainbow,COUNTRY - Country Rock - Positive - Confident - Medium (90-110 BPM) - Jason Aldean - D
PL3718,S85a2122,One Horse Town,COUNTRY - Country Rock - Positive - Confident - Medium (90-110 BPM) - Big and Rich - D
PL3718,S85a2152,Amber Waves Of Grain,COUNTRY - Country Rock - Chill - Reflective - Medium (90-110 BPM) - Mark Knopfler - F
PL3718,S85a2282,The Long Way Home,COUNTRY - Country Rock - Positive - Hopeful - Fast (111-130 BPM) - Lady A - Cm
PL3718,S89b0142,Dobro Road,COUNTRY - Acoustic - Country Blues - Positive - Confident - Medium (90-110 BPM) - Zac Brown Band - A
PL3718,R73a6382,Swamped City,COUNTRY - Hick Hop - Serious - Confident - Medium (90-110 BPM) - Big and Rich - Em
PL3718,S85a2412,Fields Of Barley,COUNTRY - Country Rock - Positive - Hopeful - Medium (90-110 BPM) - Lady A - D
PL3718,R46a7102,Hollow Victory,COUNTRY - Country Rock - Positive - Anthemic - Medium (90-110 BPM) - Garth Brooks - E
PL3718,R25b0273,"Go East, Not West",COUNTRY - Country Rock - Positive - Confident - Fast (111-130 BPM) - Dwight Yoakam - D
PL3718,S33a17243,South Shine,COUNTRY - Country Rock - Positive - Confident - Medium (90-110 BPM) - Taylor Swift - Am
PL3718,S33a17443,Only Good Vibes,COUNTRY - Country Rock - Positive - Happy - Medium (90-110 BPM) - Florida Georgia Line - Asharp
PL3718,R13a11993,B Line,COUNTRY - Country Rock - Positive - Happy - Medium (90-110 BPM) - Willie Nelson - E
PL3718,S73z0033,Country Stomp,COUNTRY - Acoustic - Pop Country - Positive - Happy - Medium (90-110 BPM) - Taylor Swift - D
PL3718,R76a4383,Southern Comfort,COUNTRY - Country Rock - Positive - Fun - Medium (90-110 BPM) - Garth Brooks - D
PL3718,R82a7783,Giddy Up Horsey,COUNTRY - Country Rock - Positive - Confident - Medium (90-110 BPM) - Garth Brooks - C
PL3718,T73d0143,Bumpkin Bump,COUNTRY - Country Rock - Positive - Confident - Fast (111-130 BPM) - Toby Keith - Em
PL3718,R63m0043,North Country Fair,COUNTRY - Country Rock - Chill - Meandering - Medium (90-110 BPM) - Tom Waits - D
PL3718,S86b0144,Making Memories Today,POP - Acoustic - Rock - Positive - Hopeful - Medium (90-110 BPM) - Taylor Swift - C
PL3718,S33a37854,Stoned Pants,COUNTRY - Country Rock - Positive - Fun - Medium (90-110 BPM) - Billy Ray Cyrus - Gsharpm
PL3718,S33a41234,Pulse Parties,POP - Electropop - Positive - Hopeful - Medium (90-110 BPM) - Taylor Swift - D
