SKUROOT,LOT
R13a15024,INTAKE LOT_250805_SOHO4_01_EX
R25a4294,INTAKE LOT_250805_SOHO4_01_EX
R73a8424,INTAKE LOT_250805_SOHO4_01_EX
S20d0744,INTAKE LOT_250805_SOHO4_01_EX
S33a42574,INTAKE LOT_250805_SOHO4_01_EX
S73r1054,INTAKE LOT_250805_SOHO4_01_EX
S90a1434,INTAKE LOT_250805_SOHO4_01_EX
T31a0114,INTAKE LOT_250805_SOHO4_01_EX
T46a0064,INTAKE LOT_250805_SOHO4_01_EX
R13a15034,INTAKE LOT_250805_SOHO4_01_EX
R73a8434,INTAKE LOT_250805_SOHO4_01_EX
S33a42584,INTAKE LOT_250805_SOHO4_01_EX
S73r1064,INTAKE LOT_250805_SOHO4_01_EX
S90a1444,INTAKE LOT_250805_SOHO4_01_EX
T31a0124,INTAKE LOT_250805_SOHO4_01_EX
T46a0074,INTAKE LOT_250805_SOHO4_01_EX
R13a15044,INTAKE LOT_250805_SOHO4_01_EX
R73a8444,INTAKE LOT_250805_SOHO4_01_EX
S33a42594,INTAKE LOT_250805_SOHO4_01_EX
S73r1074,INTAKE LOT_250805_SOHO4_01_EX
T46a0084,INTAKE LOT_250805_SOHO4_01_EX
R73a8464,INTAKE LOT_250805_SOHO4_01_EX
S33a42604,INTAKE LOT_250805_SOHO4_01_EX
R73a8474,INTAKE LOT_250805_SOHO4_01_EX
S33a42614,INTAKE LOT_250805_SOHO4_01_EX
R73a8484,INTAKE LOT_250805_SOHO4_01_EX
S33a42624,INTAKE LOT_250805_SOHO4_01_EX
R73a8494,INTAKE LOT_250805_SOHO4_01_EX
S33a42634,INTAKE LOT_250805_SOHO4_01_EX
R73a8504,INTAKE LOT_250805_SOHO4_01_EX
C32b4844,INTAKE LOT_250805_SOHO4_02_EX
R13a15054,INTAKE LOT_250805_SOHO4_02_EX
R25a4304,INTAKE LOT_250805_SOHO4_02_EX
R73a8514,INTAKE LOT_250805_SOHO4_02_EX
R82a8654,INTAKE LOT_250805_SOHO4_02_EX
S20d0754,INTAKE LOT_250805_SOHO4_02_EX
S33a42644,INTAKE LOT_250805_SOHO4_02_EX
S73r1094,INTAKE LOT_250805_SOHO4_02_EX
S86b0184,INTAKE LOT_250805_SOHO4_02_EX
S90a1454,INTAKE LOT_250805_SOHO4_02_EX
T31a0134,INTAKE LOT_250805_SOHO4_02_EX
C32b4854,INTAKE LOT_250805_SOHO4_02_EX
R13a15064,INTAKE LOT_250805_SOHO4_02_EX
R73a8524,INTAKE LOT_250805_SOHO4_02_EX
S20d0764,INTAKE LOT_250805_SOHO4_02_EX
S33a42654,INTAKE LOT_250805_SOHO4_02_EX
C32b4864,INTAKE LOT_250805_SOHO4_02_EX
R73a8534,INTAKE LOT_250805_SOHO4_02_EX
S33a42664,INTAKE LOT_250805_SOHO4_02_EX
C32b4874,INTAKE LOT_250805_SOHO4_02_EX
R73a8544,INTAKE LOT_250805_SOHO4_02_EX
S33a42674,INTAKE LOT_250805_SOHO4_02_EX
C32b4884,INTAKE LOT_250805_SOHO4_02_EX
R73a8554,INTAKE LOT_250805_SOHO4_02_EX
S33a42694,INTAKE LOT_250805_SOHO4_02_EX
C32b4894,INTAKE LOT_250805_SOHO4_02_EX
R73a8564,INTAKE LOT_250805_SOHO4_02_EX
R73a8574,INTAKE LOT_250805_SOHO4_02_EX
S33a42704,INTAKE LOT_250805_SOHO4_02_EX
S33a42714,INTAKE LOT_250805_SOHO4_02_EX
R13a15074,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R25a4314,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R73a8584,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S13a0274,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S20d0774,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42724,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
T31a0144,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
T37a0054,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
T43e0014,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R13a15084,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R25a4324,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R73a8594,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S13a0284,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S20d0784,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42734,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R13a15094,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R73a8604,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S13a0294,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42744,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R13a15104,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R73a8614,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S13a0304,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42754,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R13a15114,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42764,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42774,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42784,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42794,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42804,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
S33a42814,INTAKE LOT_250819_SOHO4_04_TENSION (EX)
R48a3724,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8624,250819_INTAKE LOT_SOHO4_05 EDM (EX)
C32b4904,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R48a3734,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8634,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S20d0794,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42824,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S90a1464,250819_INTAKE LOT_SOHO4_05 EDM (EX)
T27a0224,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8644,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S20d0804,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42834,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8654,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42844,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8664,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42854,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R73a8674,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42864,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42874,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42884,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42894,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42904,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42914,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42924,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42934,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42944,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42954,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42964,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42974,250819_INTAKE LOT_SOHO4_05 EDM (EX)
S33a42984,250819_INTAKE LOT_SOHO4_05 EDM (EX)
R13a15124,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S20d0814,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a42994,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T31a0154,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0064,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T43e0024,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T50a0174,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
R13a15134,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43004,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T31a0164,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
R13a15144,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43014,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0074,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T43e0034,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
R13a15154,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43024,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0084,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T43e0044,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
R13a15164,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43034,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0094,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T43e0054,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43044,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0104,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43054,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
T37a0114,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43064,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43074,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43084,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
S33a43094,250827_INTAKE LOT_SOHO4_06 TENSION (EX)
R13a15174,INTAKE LOT_250904_SOHO4 Lifestyle
R25a4334,INTAKE LOT_250904_SOHO4 Lifestyle
R82a8664,INTAKE LOT_250904_SOHO4 Lifestyle
R94a1914,INTAKE LOT_250904_SOHO4 Lifestyle
S13a0314,INTAKE LOT_250904_SOHO4 Lifestyle
S22a0264,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43104,INTAKE LOT_250904_SOHO4 Lifestyle
R13a15184,INTAKE LOT_250904_SOHO4 Lifestyle
R25a4344,INTAKE LOT_250904_SOHO4 Lifestyle
S13a0324,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43114,INTAKE LOT_250904_SOHO4 Lifestyle
R13a15194,INTAKE LOT_250904_SOHO4 Lifestyle
S13a0334,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43124,INTAKE LOT_250904_SOHO4 Lifestyle
R13a15204,INTAKE LOT_250904_SOHO4 Lifestyle
S13a0344,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43134,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43144,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43154,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43164,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43174,INTAKE LOT_250904_SOHO4 Lifestyle
S33a43184,INTAKE LOT_250904_SOHO4 Lifestyle
