PK,LOT,DATE CREATED,CLIENT,PROJECT,Date Sent,AVID,NOTES
PL02,150512 Lite Tension,12/29/2016,CINEFLIX NY,American Pickers,05/12/2015,PRE AVID BIN,
PL01,150512 Rock,12/9/2016,CINEFLIX NY,American Pickers,5/12/2015,PRE AVID BIN,
PL03,150527_AMPIC,12/29/2016,CINEFLIX NY,American Pickers,05/27/2015,PRE AVID BIN,
PL04,150605_Neue Musik 1,12/30/2016,CINEFLIX NY,American Pickers,06/05/2015,PRE AVID BIN,
PL05,150610_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,06/10/2015,PRE AVID BIN,
PL06,150612_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,06/12/2015,PRE AVID BIN,
PL07,150612_Spaghetti,12/30/2016,CINEFLIX NY,American Pickers,06/12/2015,PRE AVID BIN,
PL08,150617_Haus Daily,12/30/2016,CINEFLIX NY,American Pickers,06/17/2015,PRE AVID BIN,
PL09,150617_Spaghetti 2,12/30/2016,CINEFLIX NY,American Pickers,06/17/2015,PRE AVID BIN,
PL10,150618_AMPIC_Americana,12/30/2016,CINEFLIX NY,American Pickers,06/18/2015,PRE AVID BIN,
PL11,150619_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,06/19/2015,PRE AVID BIN,
PL12,150623_HAUS,12/30/2016,CINEFLIX NY,American Pickers,06/23/2015,PRE AVID BIN,
PL13,150623b_HAUS,12/30/2016,CINEFLIX NY,American Pickers,06/23/2015,PRE AVID BIN,
PL14,150625_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,06/25/2015,PRE AVID BIN,
PL15,150626_HAUS,12/30/2016,CINEFLIX NY,American Pickers,06/26/2015,PRE AVID BIN,
PL16,150702_HAUS,12/30/2016,CINEFLIX NY,American Pickers,07/02/2015,PRE AVID BIN,
PL17,150703_HAUS,12/30/2016,CINEFLIX NY,American Pickers,07/03/2015,PRE AVID BIN,
PL18,150707_HAUS,12/30/2016,CINEFLIX NY,American Pickers,07/07/2015,PRE AVID BIN,
PL19,150709_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,07/09/2015,PRE AVID BIN,
PL20,150710_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,07/10/2015,PRE AVID BIN,
PL21,150715_AMPIC,12/30/2016,CINEFLIX NY,American Pickers,07/15/2015,PRE AVID BIN,
PL22,150717_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,07/17/2015,PRE AVID BIN,
PL23,150722_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,07/22/2015,PRE AVID BIN,
PL24,150724_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,07/24/2015,PRE AVID BIN,
PL25,150729_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,07/29/2015,PRE AVID BIN,
PL40,150805_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,08/05/2015,PRE AVID BIN,
PL26,150806_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/06/2015,PRE AVID BIN,
PL27,150807_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/07/2015,PRE AVID BIN,
PL28,150811_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/11/2015,PRE AVID BIN,
PL29,150812_EXTRA,12/31/2016,CINEFLIX NY,American Pickers,08/12/2015,PRE AVID BIN,
PL30,150814_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/14/2015,PRE AVID BIN,
PL31,150819_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/19/2015,PRE AVID BIN,
PL32,150825_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/25/2015,PRE AVID BIN,
PL33,150826_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/26/2015,PRE AVID BIN,
PL34,150828_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,08/28/2015,PRE AVID BIN,
PL35,150901_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,09/01/2015,PRE AVID BIN,
PL37,150903_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,09/03/2015,PRE AVID BIN,
PL36,150909_AMPIC,12/31/2016,CINEFLIX NY,American Pickers,09/09/2015,PRE AVID BIN,
PL38,150910_AMPICstate champ,1/2/2017,CINEFLIX NY,American Pickers,09/10/2015,PRE AVID BIN,
PL39,150915_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,09/15/2015,PRE AVID BIN,
PL41,150918_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,09/18/2015,PRE AVID BIN,
PL42,150923_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,09/23/2015,PRE AVID BIN,
PL43,150924_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,09/24/2015,PRE AVID BIN,
PL44,"150925,28,29_AMPIC",1/2/2017,CINEFLIX NY,American Pickers,09/25/2015,PRE AVID BIN,
PL46,150930_Haus,1/2/2017,CINEFLIX NY,American Pickers,09/30/2015,PRE AVID BIN,
PL45,150930_Special and A,1/2/2017,CINEFLIX NY,American Pickers,09/30/2015,PRE AVID BIN,
PL48,151001_AMPIC,1/4/2017,CINEFLIX NY,American Pickers,10/01/2015,PRE AVID BIN,
PL47,151006_AMPIC,1/2/2017,CINEFLIX NY,American Pickers,10/06/2015,PRE AVID BIN,
PL57,151009_AMPIC,1/5/2017,CINEFLIX NY,American Pickers,10/09/2015,PRE AVID BIN,
PL72,151013-30_AMPIC,1/6/2017,CINEFLIX NY,American Pickers,10/13/2015,PRE AVID BIN,
PL95,151018_TheDEED_12,1/10/2017,Cineflix CANADA,The Deed,,HBIN_1647,
PL317,151106_Suspense PULL,2/27/2017,CINEFLIX NY,American Pickers,11/06/2015,,
PL314,151113_AMPIC,2/24/2017,CINEFLIX NY,American Pickers,11/13/2015,PRE Avid bin,
PL163,160106_Pilot,1/31/2017,CINEFLIX NY,,,PRE AVID,
PL153,160216_Leftovers and Beginnings,1/27/2017,CINEFLIX NY,American Pickers,02/16/2016,,
PL382,160224_AP8_02,4/28/2017,CINEFLIX NY,American Pickers,02/24/2016,,
PL383,160304_AP8_03,4/28/2017,CINEFLIX NY,American Pickers,03/04/2016,,
PL154,160304_GENERAL BIN,1/27/2017,Haus Internal,,,,
PL159,160310_GENERAL BIN,1/30/2017,Haus Internal,,,,
PL155,160314_AP8_04,1/28/2017,CINEFLIX NY,American Pickers,03/14/2016,,
PL160,160316_Double O,1/30/2017,CINEFLIX NY,American Pickers,03/16/2016,,
PL161,160316_Replacement Theory,1/30/2017,CINEFLIX NY,American Pickers,03/16/2016,,
PL158,160319_AP8_05,1/30/2017,CINEFLIX NY,American Pickers,03/19/2016,,
PL97,160321_AP8_07_TIM,1/10/2017,CINEFLIX NY,American Pickers,03/21/2016,,
PL98,160323_AP8_08,1/10/2017,CINEFLIX NY,American Pickers,03/23/2016,,
PL384,160328_AP8_09 Rock and Tension,4/28/2017,CINEFLIX NY,American Pickers,03/28/2016,,
PL101,160328_AP8_SciFi and Western Replacement,1/10/2017,CINEFLIX NY,American Pickers,03/28/2016,,
PL100,160328_AP8_Western,1/10/2017,CINEFLIX NY,American Pickers,03/28/2016,,
