"HAUS_Silhouettes_Cm_C46a","Silhouettes","Sad and Melancholic with strings and harp that explodes at :30 into a more bombastic scene.","C46a0062"
"HAUS_MagicPawnshop_Dm_R73a","Magic Pawnshop","Bouncy and fun with Pizz strings and clarinet","R73a3642"
"HAUS_RantinNHaggling_A_R73a","Rantin N Haggling","Distorted guitars laying down some classic styled rock riffs","R73a3652"
"HAUS_Menagerie_G_C30a","Menagerie","Upbeat and Plucky House Track with some sweepy synth washes.","C30a0012"
"HAUS_SlyDog_Ebm_R43a","Sly Dog","Mysterious and suspenseful, with an eerie quality.","R43a1902"
"HAUS_TruckerTreat_Em_R73a","Trucker Treat","Confident, edgy and cool!","R73a3662"
"HAUS_BikeShop_Dm_S33a","Bike Shop","Upbeat, cool drums with rockin electric guitars and lots of grit.","S33a4082"
"HAUS_Bottles_Am_S33a","Bottles","Mysterious and suspenseful soundtrack with a combination of orchestral and electronic elements.","S33a4092"
"HAUS_Danger_FSharpm_S33a","Danger","When you are snooping around with a flashlight, trying to find clues, and you know that time is running out.","S33a4102"
"HAUS_Deputation_Am_S33a","Deputation","A suspenseful and mysterious soundtrack with a dark vibe that will have you biting your nails and hoping that they make it out in time. ","S33a4112"
"HAUS_FiveDollars_F_S33a","Five Dollars","A positive and uplifting orchestral soundtrack with an adventurous mood.","S33a4122"
"HAUS_FreshAir_D_S33a","Fresh Air","Positive, friendly acoustic vibes with pizzicato orchestral strings.","S33a4132"
"HAUS_FunnyGuys_Am_S33a","Funny Guys","Edgy and cool vibes with gritty guitars and rockin drums.","S33a4142"
"HAUS_Metals_E_S33a","Metals","This track should come with a warning - May cause heart palpitations.","S33a4152"
"HAUS_SinkingShip_Em_C46a","Sinking Ship","Pulsing background noise makes for a pretty nervous and suspenseful atmosphere ","C46a0042"
"HAUS_SmoothFinish_A_R19d","Smooth Finish","Twangin guitars cooperating to lay down some rockin riffs ","R19d0692"
"HAUS_TheKindred_Em_R23a","The Kindred","Acoustic and slide coming together for a relaxed, feel good track","R23a1702"
"HAUS_CelebrityWannabe_G_R36a","Celebrity Wannabe","Zany orchestral piece with some comic elements to it","R36a1592"
"HAUS_ForNoReason_Em_R36a","For No Reason","Persistent string section driving things home in a serious and tense manor ","R36a1602"
"HAUS_NoBadDay_C_R36a","No Bad Day","Orchestral piece with the orchestral hits leading the pact and the drums looming in the background","R36a1612"
"HAUS_BlueCircle_Fsharpm_R68b","Blue Circle","Some classic sounding rock straight from the south ripe for the picking ","R68b0052"
"HAUS_DustyRoadAhead_E_R68b","Dusty Road Ahead","Fuzzy sounding guitar laying down some serious licks","R68b0062"
"HAUS_Generation_B_R68b","Generation","A riff so catchy everyone decided to jump in and follow its lead... Cue the ""ooohooohohooohoooh""","R68b0072"
"HAUS_Nashville_D_R68b","Nashville","A positive sounding track with acoustic guitars coming out the wood work to brighten your day","R68b0082"
"HAUS_Overall_A_R68b","Overall","Fuzzed out guitar laying down some borderline blues licks in alt rock fashion ","R68b0092"
"HAUS_BloodRush_Dm_R73a","Blood Rush","The pulsing of electronic beats coming in waves makes for an intriguing and mysterious track","R73a3592"
"HAUS_CircusFolk_Em_R73a","Circus Folk","Kinda silly and a little bit quirky, this piece incorporates some xylophone and accordion into the mix of hijinks ","R73a3602"
"HAUS_DankGarage_Bm_R73a","Dank Garage","Dirty distorted guitars dropping some power chords for those things you call ears","R73a3612"
"HAUS_DreamDeal_FSharpm_R73a","Dream Deal","Orchestral piece with a very good feel of mystery that makes you want to learn more","R73a3622"
"HAUS_InTherapy_E_C28a","In Therapy","Sounds like the soundtrack to a spiritual journey that a person goes on to find themselves,coming across new places and experiences. There is a sense of introspectiveness and adventure, and an overall hopeful and almost exciting mood.","C28a0022"
"HAUS_LuxuryLife_Gm_C34a","Luxury Life","You can almost smell the smoke, taste the martinis and feel the luxury!","C34a0012"
"HAUS_MotorCity_E_C34a","Motor City","Positive and edgy alternative Rock that will make you feel determined.","C34a0022"
"HAUS_Reflex_Ebm_C34a","Reflex","Mysterious and suspenseful, featuring lots of ominous sounding percussive elements alongside some unsettling cluster string effects.","C34a0032"
"HAUS_BackyardGroovin_G_C35b","Backyard Groovin","Positive and upbeat folk Rock.","C35b0012"
"HAUS_MonsterTruckGuitarz_Dm_C43b","Monster Truck Guitarz","Gritty, Grimy and Angry!","C43b0012"
"HAUS_DustyWhigs_Eb_R27a","Dusty Whigs","Humorous, with a dark twist!","R27a2582"
"HAUS_GreatAuntLinda_Am_R27a","Great Aunt Linda","Meandering marimbas and xylophones and a curious bass clarinet over mysterious pizzicato strings and suspenseful percussion.","R27a2592"
