action,collision_sku,title,composer,correct_sku
KEEP,R04b1001,"AeroNorff",R04b,R04b1001
MOVE,R04b1001,"Snack Security Hearsay",R04b,R04b10013
KEEP,R04b1011,"Aeroclose",R04b,R04b1011
MOVE,R04b1011,"Goose Platter Possibility",R04b,R04b10113
KEEP,R13a1011,"Thompson",R13a,R13a1011
MOVE,R13a1011,"Trespassing",R13a,R13a10113
KEEP,R13a1021,"Yogg",R13a,R13a1021
MOVE,R13a1021,"Rounding Out",R13a,R13a10213
KEEP,R13a1031,"Proof",R13a,R13a1031
MOVE,R13a1031,"Magic Roar",R13a,R13a10313
KEEP,R13a1041,"Shopping",R13a,R13a1041
MOVE,R13a1041,"Slight Twitch",R13a,R13a10413
KEEP,R13a1061,"Coldifide",R13a,R13a1061
MOVE,R13a1061,"The Pendulum",R13a,R13a10613
KEEP,R13a1071,"Floating Lotus",R13a,R13a1071
MOVE,R13a1071,"Wide Aisle",R13a,R13a10713
KEEP,R13a1081,"Raise",R13a,R13a1081
MOVE,R13a1081,"Blissful",R13a,R13a10813
KEEP,R13a1091,"Scavenger",R13a,R13a1091
MOVE,R13a1091,"The Big Awe",R13a,R13a10913
KEEP,R13a1101,"Compost",R13a,R13a1101
MOVE,R13a1101,"Databaser",R13a,R13a11013
KEEP,R13a1111,"Forward Madness",R13a,R13a1111
MOVE,R13a1111,"Keep On The Look Out",R13a,R13a11113
KEEP,R13a1121,"New Energy",R13a,R13a1121
MOVE,R13a1121,"Hot Trot",R13a,R13a11213
KEEP,R13a1131,"TruLove",R13a,R13a1131
MOVE,R13a1131,"Kitchen Game",R13a,R13a11313
KEEP,R13a1141,"Up And On",R13a,R13a1141
MOVE,R13a1141,"Against All Odds",R13a,R13a11413
KEEP,R13a1151,"Next Day",R13a,R13a1151
MOVE,R13a1151,"Returns",R13a,R13a11513
KEEP,R13a1161,"Nowhere To Run To",R13a,R13a1161
MOVE,R13a1161,"Bubble Drag",R13a,R13a11613
KEEP,R13a1171,"Out The Window",R13a,R13a1171
MOVE,R13a1171,"Tipsies",R13a,R13a11713
KEEP,R13a1191,"Easy Breezy",R13a,R13a1191
MOVE,R13a1191,"Modazz",R13a,R13a11913
KEEP,R13a1201,"Iron",R13a,R13a1201
MOVE,R13a1201,"First Building Blocks",R13a,R13a12013
KEEP,R13a1211,"Life Ins",R13a,R13a1211
MOVE,R13a1211,"In The Air",R13a,R13a12113
KEEP,R13a1221,"Bembe Dancing",R13a,R13a1221
MOVE,R13a1221,"The Right Path",R13a,R13a12213
KEEP,R13a1231,"Late Late Night",R13a,R13a1231
MOVE,R13a1231,"Brightest Lights",R13a,R13a12313
KEEP,R13a1241,"Picnic",R13a,R13a1241
MOVE,R13a1241,"Stuff Strut",R13a,R13a12413
KEEP,R13a1251,"Draining",R13a,R13a1251
MOVE,R13a1251,"Rooftop View",R13a,R13a12513
KEEP,R13a1261,"Coating",R13a,R13a1261
MOVE,R13a1261,"Make A Grand Entrance",R13a,R13a12613
KEEP,R13a1271,"Darkness",R13a,R13a1271
MOVE,R13a1271,"Tall And Proud",R13a,R13a12713
KEEP,R13a1282,"First",R13a,R13a1282
MOVE,R13a1282,"Reach The Rich",R13a,R13a12823
KEEP,R13a1301,"Positive Negative",R13a,R13a1301
MOVE,R13a1301,"Old New",R13a,R13a13013
KEEP,R13a1311,"Pursuit",R13a,R13a1311
MOVE,R13a1311,"Dark And Late",R13a,R13a13113
KEEP,R13a1351,"Suspense",R13a,R13a1351
MOVE,R13a1351,"Picnic With Jill",R13a,R13a13513
KEEP,R13a1361,"This Is Not A Test",R13a,R13a1361
MOVE,R13a1361,"Me First",R13a,R13a13613
KEEP,R13a1371,"Lookout",R13a,R13a1371
MOVE,R13a1371,"Rollin' In",R13a,R13a13713
KEEP,R13a1381,"On Edge",R13a,R13a1381
MOVE,R13a1381,"So Smooth",R13a,R13a13813
KEEP,R13a1391,"Garage Sale 2",R13a,R13a1391
MOVE,R13a1391,"In Good Spirit",R13a,R13a13913
KEEP,R13a1401,"Intent",R13a,R13a1401
MOVE,R13a1401,"Shame",R13a,R13a14013
KEEP,R13a1431,"Search And Find",R13a,R13a1431
MOVE,R13a1431,"Hard Out",R13a,R13a14313
KEEP,R13a1441,"Summer Bench",R13a,R13a1441
MOVE,R13a1441,"So Near So Far",R13a,R13a14413
KEEP,R13a1451,"Driven",R13a,R13a1451
MOVE,R13a1451,"Trenches",R13a,R13a14513
KEEP,R13a1461,"Playground",R13a,R13a1461
MOVE,R13a1461,"Sure Enough 2",R13a,R13a14613
KEEP,R13a1471,"Splitting Up",R13a,R13a1471
MOVE,R13a1471,"Super Sweet",R13a,R13a14713
KEEP,R13a1481,"Flashlighting",R13a,R13a1481
MOVE,R13a1481,"Round Table 2",R13a,R13a14813
KEEP,R13a1491,"Morning Hustle",R13a,R13a1491
MOVE,R13a1491,"Soft Crawl",R13a,R13a14914
KEEP,R13a1501,"Commitment",R13a,R13a1501
MOVE,R13a1501,"Gutter Strut",R13a,R13a15014
KEEP,R13a1511,"Happy Birds",R13a,R13a1511
MOVE,R13a1511,"Love Of My Life",R13a,R13a15114
KEEP,R13a1521,"Hollaring",R13a,R13a1521
MOVE,R13a1521,"Dead Roses",R13a,R13a15214
KEEP,R13a1531,"Quantifying",R13a,R13a1531
MOVE,R13a1531,"Shift After Shift",R13a,R13a15314
KEEP,R13a1541,"Bluesing",R13a,R13a1541
MOVE,R13a1541,"In The Thick",R13a,R13a15414
KEEP,R13a1551,"Hold And Behold",R13a,R13a1551
MOVE,R13a1551,"Between The Two",R13a,R13a15514
KEEP,R13a1561,"Picking",R13a,R13a1561
MOVE,R13a1561,"Storm Clouds",R13a,R13a15614
KEEP,R13a1571,"Findings",R13a,R13a1571
MOVE,R13a1571,"Like The Rain",R13a,R13a15714
KEEP,R13a1581,"Right There",R13a,R13a1581
MOVE,R13a1581,"Riding High",R13a,R13a15814
KEEP,S33a1001,"Gates",S33a,S33a1001
MOVE,S33a1001,"Last Chance",S33a,S33a10012
KEEP,S33a1011,"Heavy Guitar",S33a,S33a1011
MOVE,S33a1011,"Island Style",S33a,S33a10112
KEEP,S33a1021,"Hot Pot",S33a,S33a1021
MOVE,S33a1021,"Preparations",S33a,S33a10212
KEEP,S33a1031,"Hours",S33a,S33a1031
MOVE,S33a1031,"Dry Highways",S33a,S33a10312
KEEP,S33a1041,"In And Around",S33a,S33a1041
MOVE,S33a1041,"Long Take Off",S33a,S33a10412
KEEP,S33a1051,"Light In The Tunnel",S33a,S33a1051
MOVE,S33a1051,"Major Orders",S33a,S33a10512
KEEP,S33a1061,"Memory",S33a,S33a1061
MOVE,S33a1061,"Heliosphere",S33a,S33a10612
KEEP,S33a1071,"Noise",S33a,S33a1071
MOVE,S33a1071,"Broken Intel",S33a,S33a10712
KEEP,S33a1081,"Postcard",S33a,S33a1081
MOVE,S33a1081,"Leading News",S33a,S33a10812
KEEP,S33a1091,"Prices",S33a,S33a1091
MOVE,S33a1091,"Docks",S33a,S33a10912
KEEP,S33a1101,"Producer",S33a,S33a1101
MOVE,S33a1101,"Slow Breeze 65",S33a,S33a11012
KEEP,S33a1111,"Telephone",S33a,S33a1111
MOVE,S33a1111,"First Found",S33a,S33a11112
KEEP,S33a1121,"Theatre",S33a,S33a1121
MOVE,S33a1121,"Full Hospitals",S33a,S33a11212
KEEP,S33a1131,"Adapting",S33a,S33a1131
MOVE,S33a1131,"Hard Way",S33a,S33a11312
KEEP,S33a1141,"Day Rush",S33a,S33a1141
MOVE,S33a1141,"Two Wheeler",S33a,S33a11412
KEEP,S33a1151,"Dialogs",S33a,S33a1151
MOVE,S33a1151,"Story Of Parents",S33a,S33a11512
KEEP,S33a1161,"Gold",S33a,S33a1161
