action,sku_root,keep_ctid,keep_title,del_ctid,del_title,composer
REVIEW,R04b1001,,,(178,6),"AeroNorff",R04b
REVIEW,R04b1001,,,(1804,59),"Snack Security Hearsay",R04b
REVIEW,R04b1011,,,(1815,68),"Goose Platter Possibility",R04b
REVIEW,R04b1011,,,(2413,14),"Aeroclose",R04b
REVIEW,R13a1011,,,(1808,62),"Trespassing",R13a
REVIEW,R13a1011,,,(1860,63),"Thompson",R13a
REVIEW,R13a1021,,,(1808,63),"Rounding Out",R13a
REVIEW,R13a1021,,,(1857,7),"Yogg",R13a
REVIEW,R13a1031,,,(1860,64),"Proof",R13a
REVIEW,R13a1031,,,(3109,28),"Magic Roar",R13a
REVIEW,R13a1041,,,(1823,57),"Shopping",R13a
REVIEW,R13a1041,,,(3179,5),"Slight Twitch",R13a
REVIEW,R13a1051,,,(1696,1),"Aftershock",R13a
REVIEW,R13a1051,,,(3137,20),"All Out, All In",R13a
REVIEW,R13a1061,,,(1860,65),"Coldifide",R13a
REVIEW,R13a1061,,,(3149,10),"The Pendulum",R13a
REVIEW,R13a1071,,,(1808,64),"Wide Aisle",R13a
REVIEW,R13a1071,,,(1883,6),"Floating Lotus",R13a
REVIEW,R13a1081,,,(1807,59),"Blissful",R13a
REVIEW,R13a1081,,,(1823,58),"Raise",R13a
REVIEW,R13a1091,,,(1823,59),"Scavenger",R13a
REVIEW,R13a1091,,,(3207,30),"The Big Awe",R13a
REVIEW,R13a1101,,,(1808,66),"Databaser",R13a
REVIEW,R13a1101,,,(1860,66),"Compost",R13a
REVIEW,R13a1111,,,(1860,67),"Forward Madness",R13a
REVIEW,R13a1111,,,(3238,8),"Keep On The Look Out",R13a
REVIEW,R13a1121,,,(1147,4),"New Energy",R13a
REVIEW,R13a1121,,,(1808,67),"Hot Trot",R13a
REVIEW,R13a1131,,,(1862,8),"TruLove",R13a
REVIEW,R13a1131,,,(3312,1),"Kitchen Game",R13a
REVIEW,R13a1141,,,(1147,5),"Up And On",R13a
REVIEW,R13a1141,,,(1808,68),"Against All Odds",R13a
REVIEW,R13a1151,,,(1147,6),"Next Day",R13a
REVIEW,R13a1151,,,(3319,29),"Returns",R13a
REVIEW,R13a1161,,,(1860,68),"Nowhere To Run To",R13a
REVIEW,R13a1161,,,(3324,19),"Bubble Drag",R13a
REVIEW,R13a1171,,,(417,61),"Tipsies",R13a
REVIEW,R13a1171,,,(1860,69),"Out The Window",R13a
REVIEW,R13a1181,,,(1808,70),"All Good, Baby",R13a
REVIEW,R13a1181,,,(1860,70),"Billys Day",R13a
REVIEW,R13a1191,,,(1866,1),"Easy Breezy",R13a
REVIEW,R13a1191,,,(3397,19),"Modazz",R13a
REVIEW,R13a1201,,,(1860,71),"Iron",R13a
REVIEW,R13a1201,,,(3403,1),"First Building Blocks",R13a
REVIEW,R13a1211,,,(1861,40),"Life Ins",R13a
REVIEW,R13a1211,,,(3403,2),"In The Air",R13a
REVIEW,R13a1221,,,(1854,46),"Bembe Dancing",R13a
REVIEW,R13a1221,,,(3198,32),"The Right Path",R13a
REVIEW,R13a1231,,,(1808,71),"Brightest Lights",R13a
REVIEW,R13a1231,,,(1860,72),"Late Late Night",R13a
REVIEW,R13a1241,,,(1808,72),"Stuff Strut",R13a
REVIEW,R13a1241,,,(1860,73),"Picnic",R13a
REVIEW,R13a1251,,,(1860,74),"Draining",R13a
REVIEW,R13a1251,,,(3442,3),"Rooftop View",R13a
REVIEW,R13a1261,,,(1807,61),"Make A Grand Entrance",R13a
REVIEW,R13a1261,,,(1854,47),"Coating",R13a
REVIEW,R13a1271,,,(1807,64),"Tall And Proud",R13a
REVIEW,R13a1271,,,(1854,48),"Darkness",R13a
REVIEW,R13a1282,,,(1808,73),"Reach The Rich",R13a
REVIEW,R13a1282,,,(1859,71),"First",R13a
REVIEW,R13a1301,,,(1788,69),"Old New",R13a
REVIEW,R13a1301,,,(1883,7),"Positive Negative",R13a
REVIEW,R13a1311,,,(1808,76),"Dark And Late",R13a
REVIEW,R13a1311,,,(1883,8),"Pursuit",R13a
REVIEW,R13a1351,,,(13,3),"Suspense",R13a
REVIEW,R13a1351,,,(3546,5),"Picnic With Jill",R13a
REVIEW,R13a1361,,,(1857,29),"This Is Not A Test",R13a
REVIEW,R13a1361,,,(3547,13),"Me First",R13a
REVIEW,R13a1371,,,(1808,78),"Rollin' In",R13a
REVIEW,R13a1371,,,(1860,75),"Lookout",R13a
REVIEW,R13a1381,,,(1808,80),"So Smooth",R13a
REVIEW,R13a1381,,,(1860,76),"On Edge",R13a
REVIEW,R13a1391,,,(1860,77),"Garage Sale 2",R13a
REVIEW,R13a1391,,,(3588,13),"In Good Spirit",R13a
REVIEW,R13a1401,,,(1860,78),"Intent",R13a
REVIEW,R13a1401,,,(3580,34),"Shame",R13a
REVIEW,R13a1431,,,(1808,81),"Hard Out",R13a
REVIEW,R13a1431,,,(1860,81),"Search And Find",R13a
REVIEW,R13a1441,,,(1808,83),"So Near So Far",R13a
REVIEW,R13a1441,,,(1860,82),"Summer Bench",R13a
REVIEW,R13a1451,,,(1860,83),"Driven",R13a
REVIEW,R13a1451,,,(3641,37),"Trenches",R13a
REVIEW,R13a1461,,,(1808,86),"Sure Enough 2",R13a
REVIEW,R13a1461,,,(1860,84),"Playground",R13a
REVIEW,R13a1471,,,(1861,41),"Splitting Up",R13a
REVIEW,R13a1471,,,(3681,24),"Super Sweet",R13a
REVIEW,R13a1481,,,(1808,89),"Round Table 2",R13a
REVIEW,R13a1481,,,(1861,42),"Flashlighting",R13a
