status,db_sku,correct_sku,composer,title,collision_with
CAN_FIX,C27a015,C27a0152,C27a,"SIB Coal Train",
CAN_FIX,C27a016,C27a0162,C27a,"SIB Cut The Tag",
CAN_FIX,C27a017,C27a0172,C27a,"SIB I Guess Thats The End",
CAN_FIX,C27a018,C27a0182,C27a,"SIB I Reckon",
CAN_FIX,C27a019,C27a0192,C27a,"SIB Last Time",
CAN_FIX,C27a020,C27a0202,C27a,"SIB Lazy Day Pickin",
CAN_FIX,C27a021,C27a0212,C27a,"SIB Lightning Rod",
CAN_FIX,C27a022,C27a0222,C27a,"SIB Lonesome Wind",
CAN_FIX,C27a023,C27a0232,C27a,"SIB Make It Sing",
CAN_FIX,C27a024,C27a0242,C27a,"SIB Rollin On Out",
CAN_FIX,C27a025,C27a0252,C27a,"SIB Scorpions Sting",
CAN_FIX,C27a026,C27a0262,C27a,"SIB Shaky Ground",
CAN_FIX,C27a027,C27a0272,C27a,"SIB Up The Ninth",
CAN_FIX,C27a028,C27a0282,C27a,"SIB Upwardly Diminished",
CAN_FIX,C27a029,C27a0292,C27a,"SIB Whats Done IS Done",
CAN_FIX,C27a030,C27a0302,C27a,"SIB Awww",
CAN_FIX,C27a031,C27a0312,C27a,"SIB Barnyard Showdown",
CAN_FIX,C27a032,C27a0322,C27a,"SIB Bigger Blues Thing",
CAN_FIX,C27a033,C27a0332,C27a,"SIB Bit Of A Weirdo",
CAN_FIX,C27a034,C27a0342,C27a,"SIB Born To Pick",
CAN_FIX,C27a035,C27a0352,C27a,"SIB Darmonics",
CAN_FIX,C27a036,C27a0362,C27a,"SIB Darmonics 2",
CAN_FIX,C27a037,C27a0372,C27a,"SIB Deliberation Time",
CAN_FIX,C27a038,C27a0382,C27a,"SIB Desert Fire",
CAN_FIX,C27a039,C27a0392,C27a,"SIB Desert Ride",
CAN_FIX,C27a040,C27a0402,C27a,"SIB Desert Showdown",
CAN_FIX,C27a041,C27a0412,C27a,"SIB Doo Doo Loooo",
CAN_FIX,C27a042,C27a0422,C27a,"SIB Dramatic Bendy",
CAN_FIX,C27a043,C27a0432,C27a,"SIB Electric Shanty",
CAN_FIX,C27a044,C27a0442,C27a,"SIB Electrified Pickin",
CAN_FIX,C27a045,C27a0452,C27a,"SIB Even Pickers Get Sad",
CAN_FIX,C27a046,C27a0462,C27a,"SIB Everythings Alright",
CAN_FIX,C27a047,C27a0472,C27a,"SIB Fat Messy Pick",
CAN_FIX,C27a048,C27a0482,C27a,"SIB Funky Picker",
CAN_FIX,C27a049,C27a0492,C27a,"SIB Happy Chug",
CAN_FIX,C27a050,C27a0502,C27a,"SIB Jaunty Electric",
CAN_FIX,C27a051,C27a0512,C27a,"SIB Lesson One",
CAN_FIX,C27a052,C27a0522,C27a,"SIB A Bit Uneasy",
CAN_FIX,C27a053,C27a0532,C27a,"SIB After These Messages",
CAN_FIX,C27a054,C27a0542,C27a,"SIB Light Meander",
CAN_FIX,C27a055,C27a0552,C27a,"SIB Little Blues Thing",
CAN_FIX,C27a056,C27a0562,C27a,"SIB Noodle Bowl",
CAN_FIX,C27a057,C27a0572,C27a,"SIB Pickin Tough",
CAN_FIX,C27a058,C27a0582,C27a,"SIB Pool Noodle",
CAN_FIX,C27a059,C27a0592,C27a,"SIB Power Chug",
CAN_FIX,C27a060,C27a0602,C27a,"SIB Sad To Leave",
CAN_FIX,C27a061,C27a0612,C27a,"SIB Staggered Bend",
CAN_FIX,C27a062,C27a0622,C27a,"SIB Verbed Out",
CAN_FIX,C27a074,C27a0742,C27a,"SIB Annnnnnnd Scene",
CAN_FIX,C27a075,C27a0752,C27a,"SIB Arpeggi Oops",
CAN_FIX,C27a076,C27a0762,C27a,"SIB Be Seven",
CAN_FIX,C27a077,C27a0772,C27a,"SIB Bending Road",
CAN_FIX,C27a078,C27a0782,C27a,"SIB Bluesy Snap",
CAN_FIX,C27a079,C27a0792,C27a,"SIB Break It Down",
CAN_FIX,C27a080,C27a0802,C27a,"SIB Bullish Pick",
CAN_FIX,C27a081,C27a0812,C27a,"SIB Chain Of Sevenths",
CAN_FIX,C27a082,C27a0822,C27a,"SIB Chromatic Resolve",
CAN_FIX,C27a083,C27a0832,C27a,"SIB Chugga Choo",
CAN_FIX,C27a084,C27a0842,C27a,"SIB Chugga Chugga",
CAN_FIX,C27a085,C27a0852,C27a,"SIB Closed For Renovations",
CAN_FIX,C27a086,C27a0862,C27a,"SIB Country Blue",
CAN_FIX,C27a087,C27a0872,C27a,"SIB Country Resolve",
CAN_FIX,C27a088,C27a0882,C27a,"SIB Cow Pick",
CAN_FIX,C27a089,C27a0892,C27a,"SIB Cow Picking",
CAN_FIX,C27a090,C27a0902,C27a,"SIB Da Da Da",
CAN_FIX,C27a091,C27a0912,C27a,"SIB Dark Picker",
CAN_FIX,C27a092,C27a0922,C27a,"SIB Decision Blues",
CAN_FIX,C27a093,C27a0932,C27a,"SIB Decision Slide",
CAN_FIX,C27a094,C27a0942,C27a,"SIB Desert Dirt",
CAN_FIX,C27a095,C27a0952,C27a,"SIB Desert Dust",
CAN_FIX,C27a096,C27a0962,C27a,"SIB Desert Sun",
CAN_FIX,C27a097,C27a0972,C27a,"SIB Desert Night",
CAN_FIX,C27a106,C27a1062,C27a,"SIB Dominant Consensus",
CAN_FIX,C27a107,C27a1072,C27a,"SIB Emerging Consensus",
CAN_FIX,C27a108,C27a1082,C27a,"SIB End Of The Day",
CAN_FIX,C27a109,C27a1092,C27a,"SIB End On A High Note",
CAN_FIX,C27a110,C27a1102,C27a,"SIB Falls Flat",
CAN_FIX,C27a111,C27a1112,C27a,"SIB Goin On A Pick",
CAN_FIX,C27a112,C27a1122,C27a,"SIB Hammering On",
CAN_FIX,C27a113,C27a1132,C27a,"SIB Happy Descent",
CAN_FIX,C27a114,C27a1142,C27a,"SIB Higher On The Neck",
CAN_FIX,C27a115,C27a1152,C27a,"SIB High On The Neck",
CAN_FIX,C27a120,C27a1202,C27a,"SIB It's Been Nice",
CAN_FIX,C27a121,C27a1212,C27a,"SIB It's Off To Pick We Go",
CAN_FIX,C27a122,C27a1222,C27a,"SIB Just Lonesome",
CAN_FIX,C27a123,C27a1232,C27a,"SIB Let's Go Pickin'",
CAN_FIX,C27a124,C27a1242,C27a,"SIB Let's Just See",
CAN_FIX,C27a125,C27a1252,C27a,"SIB Let's Think It Over",
CAN_FIX,C27a126,C27a1262,C27a,"SIB Lightning Picker",
CAN_FIX,C27a127,C27a1272,C27a,"SIB Light Saunter",
CAN_FIX,C27a128,C27a1282,C27a,"SIB Lonesome Bend",
CAN_FIX,C27a129,C27a1292,C27a,"SIB Lots Going On",
CAN_FIX,C27a130,C27a1302,C27a,"SIB Meandering Recollections",
CAN_FIX,C27a131,C27a1312,C27a,"SIB Might Be Serious",
CAN_FIX,C27a132,C27a1322,C27a,"SIB No Minors Allowed",
CAN_FIX,C27a133,C27a1332,C27a,"SIB Off Balance",
CAN_FIX,C27a134,C27a1342,C27a,"SIB Open Chords",
CAN_FIX,C27a135,C27a1352,C27a,"SIB Palm It",
CAN_FIX,C27a136,C27a1362,C27a,"SIB Palm It Less",
CAN_FIX,C27a137,C27a1372,C27a,"SIB Perch Pond",
CAN_FIX,C27a138,C27a1382,C27a,"SIB Pickin' Transition",
CAN_FIX,C27a139,C27a1392,C27a,"SIB Pretty Quick",
CAN_FIX,C27a140,C27a1402,C27a,"SIB Question Resolved",
CAN_FIX,C27a141,C27a1412,C27a,"SIB Quick, Let's Pick",
CAN_FIX,C27a142,C27a1422,C27a,"SIB Quick Pick Lick",
CAN_FIX,C27a143,C27a1432,C27a,"SIB Quick Pull",
CAN_FIX,C27a144,C27a1442,C27a,"SIB Quick Resolution",
CAN_FIX,C27a145,C27a1452,C27a,"SIB Really Quick",
CAN_FIX,C27a146,C27a1462,C27a,"SIB Resolved To Question",
CAN_FIX,C27a147,C27a1472,C27a,"SIB Rugged Job",
CAN_FIX,C27a148,C27a1482,C27a,"SIB A Bit Wobbly",
CAN_FIX,C27a149,C27a1492,C27a,"SIB Acoustic Air Guitar",
CAN_FIX,C27a150,C27a1502,C27a,"SIB Acoustic Truckin'",
CAN_FIX,C27a151,C27a1512,C27a,"SIB A Dramatic Close",
CAN_FIX,C27a152,C27a1522,C27a,"SIB A Little Discord",
CAN_FIX,C27a153,C27a1532,C27a,"SIB A Little Mixed Up",
CAN_FIX,C27a154,C27a1542,C27a,"SIB Slip Slide",
CAN_FIX,C27a155,C27a1552,C27a,"SIB Slow Hammer",
CAN_FIX,C27a156,C27a1562,C27a,"SIB Snap It Up",
CAN_FIX,C27a157,C27a1572,C27a,"SIB Snappin' Strings",
CAN_FIX,C27a158,C27a1582,C27a,"SIB Snappy Blues",
CAN_FIX,C27a159,C27a1592,C27a,"SIB Solid Find",
CAN_FIX,C27a160,C27a1602,C27a,"SIB Strong And Reliable",
CAN_FIX,C27a161,C27a1612,C27a,"SIB Strummy",
CAN_FIX,C27a162,C27a1622,C27a,"SIB Stumbling Resolve",
CAN_FIX,C27a163,C27a1632,C27a,"SIB Ta Da",
CAN_FIX,C27a164,C27a1642,C27a,"SIB That Was Weird",
CAN_FIX,C27a165,C27a1652,C27a,"SIB The Long Haul",
CAN_FIX,C27a166,C27a1662,C27a,"SIB The Saunter",
CAN_FIX,C27a167,C27a1672,C27a,"SIB The Short Haul",
CAN_FIX,C27a168,C27a1682,C27a,"SIB The Vista",
CAN_FIX,C27a169,C27a1692,C27a,"SIB Thoughtful And Lonesome",
CAN_FIX,C27a170,C27a1702,C27a,"SIB To The Nines",
CAN_FIX,C27a171,C27a1712,C27a,"SIB Tough Luck",
CAN_FIX,C27a172,C27a1722,C27a,"SIB Uh Oh",
CAN_FIX,C27a173,C27a1732,C27a,"SIB Uh Oh Again",
CAN_FIX,C27a174,C27a1742,C27a,"SIB Up And Up",
CAN_FIX,C27a175,C27a1752,C27a,"SIB Well OK Then",
CAN_FIX,C27a176,C27a1762,C27a,"SIB What Would Dorian Do",
CAN_FIX,C27a177,C27a1772,C27a,"SIB With A Flick Of The Wrist",
CAN_FIX,C27a226,C27a2262,C27a,"Seventh Drone",
CAN_FIX,C27a227,C27a2272,C27a,"Sinking In",
CAN_FIX,C27a230,C27a2302,C27a,"Think On It 2",
CAN_FIX,C27a232,C27a2322,C27a,"Wistful Gaze",
CAN_FIX,C27a283,C27a2833,C27a,"Land Of Heart",
CAN_FIX,C30a065,C30a0652,C30a,"Breezy Future",
CAN_FIX,C32B443,C32B4433,C32B,"Clueless Schemer",
CAN_FIX,C32b484,C32b4844,C32b,"Bless Your Drama",
CAN_FIX,C32b485,C32b4854,C32b,"Champagne And Side Eyes",
CAN_FIX,C32b486,C32b4864,C32b,"Gossip And Glitter",
CAN_FIX,C32b487,C32b4874,C32b,"Lip Gloss And Lies",
CAN_FIX,C32b488,C32b4884,C32b,"The Cheating Despair",
CAN_FIX,C32b489,C32b4894,C32b,"Velvet Rope Vendetta",
CAN_FIX,C32b490,C32b4904,C32b,"Charm Offensive",
CAN_FIX,C32b492,C32b4924,C32b,"Grumble Bum",
CAN_FIX,C32b493,C32b4934,C32b,"Hometown Glitter",
CAN_FIX,C32b494,C32b4944,C32b,"House Of Summer",
CAN_FIX,C32b495,C32b4954,C32b,"I Like Where This Is Going",
CAN_FIX,C32b496,C32b4964,C32b,"Lip Gloss Loyalty",
CAN_FIX,C32b497,C32b4974,C32b,"Low County Lights",
CAN_FIX,C32b498,C32b4984,C32b,"Make This Wedding Amazing",
CAN_FIX,C32b499,C32b4994,C32b,"Throwing Savannah Shade",
CAN_FIX,C32b500,C32b5004,C32b,"Weekend Of Wonder",
CAN_FIX,C32b501,C32b5014,C32b,"We Need A Room",
CAN_FIX,C32b502,C32b5024,C32b,"You Know Why I'm Warning You",
CAN_FIX,C32b503,C32b5034,C32b,"You Tried Your Lies",
CAN_FIX,C32b504,C32b5044,C32b,"YouSparkleButYoureDirt",
CAN_FIX,C32b505,C32b5054,C32b,"Shadow Drama",
CAN_FIX,C32b506,C32b5064,C32b,"Crying Over Fools",
CAN_FIX,C32b507,C32b5074,C32b,"Sidelined",
CAN_FIX,C32b508,C32b5084,C32b,"Words Bite",
CAN_FIX,C32b509,C32b5094,C32b,"Greedy For Glory",
CAN_FIX,C32b510,C32b5104,C32b,"Hard Heat Heartbreak",
CAN_FIX,C32b511,C32b5114,C32b,"Peaceful Paradise",
CAN_FIX,C32b512,C32b5124,C32b,"Spicy Hustle",
CAN_FIX,C32c001,C32c0014,C32c,"At The Afterparty",
CAN_FIX,C32c002,C32c0024,C32c,"Don't Regret It",
CAN_FIX,C32c003,C32c0034,C32c,"Don't Want To Leave This Moment",
CAN_FIX,C32c004,C32c0044,C32c,"If You're Feeling Like Dancing",
CAN_FIX,C32c005,C32c0054,C32c,"Skyhigh",
CAN_FIX,C33a019,C33a0192,C33a,"Just Chill",
CAN_FIX,C33a021,C33a0212,C33a,"Rainy Day Trap",
CAN_FIX,C37a001,C37a0012,C37a,"Reversed Cymbal 1",
CAN_FIX,C37a002,C37a0022,C37a,"Reversed Cymbal 2",
CAN_FIX,C43a001,C43a0012,C43a,"Reversed Cymbal 3",
CAN_FIX,C44a0035,C44a00353,C44a,"My Best Frenemy",
CAN_FIX,C46a179,C46a1793,C46a,"Willow",
CAN_FIX,C52a175,C52a1753,C52a,"Downward Fail",
CAN_FIX,C52a180,C52a1804,C52a,"In Between The Lines",
CAN_FIX,C52a181,C52a1814,C52a,"Right By My Side",
CAN_FIX,C52a182,C52a1824,C52a,"Make Me Wanna Love Somebody",
CAN_FIX,C52a183,C52a1834,C52a,"Tonight Feels Like Forever",
CAN_FIX,C52a184,C52a1844,C52a,"You Make Me Wanna Move",
CAN_FIX,C52b010,C52b0103,C52b,"Rock And Slide",
CAN_FIX,C53a005,C53a0052,C53a,"Dirty Shuffle",
CAN_FIX,C53a485,C53a4853,C53a,"Flying Away",
CAN_FIX,C59A002,C59A0023,C59A,"At The Door",
CAN_FIX,R03B086,R03B0863,R03B,"Fat Back Flame Up",
CAN_FIX,R03b044,R03b0443,R03b,"Swamp Cabbage Alley",
CAN_FIX,R03b051,R03b0513,R03b,"ATL Handling Fees",
CAN_FIX,R03b077,R03b0773,R03b,"Corner Lights",
CAN_FIX,R03b134,R03b1343,R03b,"Arctic Roommate Vibes",
CAN_FIX,R03b215,R03b2154,R03b,"Double Drippin'",
CAN_FIX,R03b216,R03b2164,R03b,"Drip Drama Queen",
CAN_FIX,R03b217,R03b2174,R03b,"High Octane Shine Up",
CAN_FIX,R03b218,R03b2184,R03b,"Ice And Attitude",
CAN_FIX,R03b219,R03b2194,R03b,"Really Live it Up",
CAN_FIX,R03b220,R03b2204,R03b,"On Holiday",
CAN_FIX,R03b221,R03b2214,R03b,"Southern Shellac",
CAN_FIX,R03b222,R03b2224,R03b,"Swag Shuffle",
CAN_FIX,R03b223,R03b2234,R03b,"The Action Is Go",
CAN_FIX,R03b224,R03b2244,R03b,"Tonight Again",
CAN_FIX,R04b182,R04b1821,R04b,"AC Shine That Moon",
CAN_FIX,R04b435,R04b4351,R04b,"Baby Blue Ride",
CAN_FIX,R04b445,R04b4451,R04b,"Just Because 2",
CAN_FIX,R04b506,R04b5061,R04b,"Brownification",
CAN_FIX,R04b68,R04b688,R04b,"R04 Sleighbells PERC",
CAN_FIX,R07a011,R07a0113,R07a,"Wampo Tango",
CAN_FIX,R11a021,R11a0211,R11a,"Smooth Crime",
CAN_FIX,R11a148,R11a1481,R11a,"Out Of This World",
CAN_FIX,R11a177,R11a1771,R11a,"Race Tuning",
CAN_FIX,R11a179,R11a1791,R11a,"After The Kill",
CAN_FIX,R11a180,R11a1801,R11a,"French Dialogue",
CAN_FIX,R11a253,R11a2532,R11a,"Coffee Break",
CAN_FIX,R11a263,R11a2632,R11a,"On The Move",
CAN_FIX,R11a334,R11a3342,R11a,"Cymbals 10 Sec Bright",
