"sku_root","title","composer_id","lot","created_at","has_mix_stems","has_b2","local_audio_count","issues"
"C53a4864","Cowboy Intuition","C53a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","7",""
"R15a3654","Gravel And Go","R15a","260701_TEXAS WIVES_1","2026-07-01","yes","yes","0","NO AUDIO IN SHIPPING"
"R25a4414","Dust In The Bones","R25a","260707_TEXAS WIVES_2","2026-07-07","yes","yes","0","NO AUDIO IN SHIPPING"
"R46a8244","Too Late Lucy","R46a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","10",""
"R48a5204","Big Sky Dive","R48a","260701_TEXAS WIVES_1","2026-07-01","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5214","Copperhead Ridge","R48a","260701_TEXAS WIVES_1","2026-07-01","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5224","Freedom Lane","R48a","260701_TEXAS WIVES_1","2026-07-01","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5234","Heartland Highway","R48a","260701_TEXAS WIVES_1","2026-07-01","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5244","Mustang Country","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5254","Raising Hell","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5274","Rodeo Babes","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5284","Side Winder","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5294","Texas Gold","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5304","The Last Rider","R48a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5314","Comanche Revenge","R48a","260707_TEXAS WIVES_2","2026-07-07","yes","yes","6",""
"R48a5324","Desert Whispers","R48a","260707_TEXAS WIVES_2","2026-07-07","yes","yes","6",""
"R48a5334","I Know What I Want Tex Sexy Vocals","R48a","260701_TEXAS WIVES_1","2026-07-07","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5334","I Know What I Want Tex Sexy Vocals","R48a","260707_TEXAS WIVES_2","2026-07-07","yes","yes","0","NO AUDIO IN SHIPPING"
"R48a5364","Sage Wisdom","R48a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","6",""
"R48a5374","Scorpion","R48a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","4",""
"R48a5384","The Last Sundown","R48a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","5",""
"R48a5404","Treat Me Right","R48a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","6",""
"R48a5414","Black Gold","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5424","I Ain't Perfect","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5434","I'll Be The Judge","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5454","It's Hard To Do Right","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","4",""
"R48a5464","It's Rough Out There","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5474","Night Blinded","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"R48a5484","Some Rules","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5494","The Cowboy's Last Stand","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R48a5504","Velvet Ranch","R48a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","5",""
"R82a8764","Rattlesnake Boogie","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","6",""
"R82a8774","A Long Way Home","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8784","Eagles Flight","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8794","Meet At High Noon","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8804","Prariie Flower","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8814","Desert Standoff","R82a","260701_TEXAS WIVES_1","2026-07-02","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8824","Big Sky Country","R82a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8834","Time's Up Cowboy","R82a","260707_TEXAS WIVES_2","2026-07-08","yes","yes","0","NO AUDIO IN SHIPPING"
"R82a8844","Lonesome Moon","R82a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","7",""
"R82a8854","Snakeskin Boots","R82a","260708_TEXAS WIVES_3","2026-07-14","yes","yes","0","NO AUDIO IN SHIPPING"
"R93c0014","Dusty Wind","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
"R93c0024","Gold Digger's Delight","R93c","260708_TEXAS WIVES_3","2026-07-14","yes","yes","6",""
