sku_root,title,composer_id,lot_id,primary_genre,secondary_genre,key,bpm,description,created_at
C27a015,SIB Coal Train,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a016,SIB Cut The Tag,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a017,SIB I Guess Thats The End,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a018,SIB I Reckon,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a019,SIB Last Time,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a020,SIB Lazy Day Pickin,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a021,SIB Lightning Rod,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a022,SIB Lonesome Wind,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a023,SIB Make It Sing,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a024,SIB Rollin On Out,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a025,SIB Scorpions Sting,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a026,SIB Shaky Ground,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a027,SIB Up The Ninth,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a028,SIB Upwardly Diminished,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a029,SIB Whats Done IS Done,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a030,SIB Awww,C27a,,SINGLE INSTRUMENT BUMPER,Acoustic,D,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a031,SIB Barnyard Showdown,C27a,,SINGLE INSTRUMENT BUMPER,Solo Guitar,Am,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a032,SIB Bigger Blues Thing,C27a,,SINGLE INSTRUMENT BUMPER,Blues Rock,Am,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a033,SIB Bit Of A Weirdo,C27a,,SINGLE INSTRUMENT BUMPER,Blues Rock,D,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a034,SIB Born To Pick,C27a,,SINGLE INSTRUMENT BUMPER,Solo Guitar,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a035,SIB Darmonics,C27a,,SINGLE INSTRUMENT BUMPER,Blues Rock,E,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a036,SIB Darmonics 2,C27a,,SINGLE INSTRUMENT BUMPER,Blues Rock,,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a037,SIB Deliberation Time,C27a,,SINGLE INSTRUMENT BUMPER,Solo Guitar,Gm,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a038,SIB Desert Fire,C27a,,SINGLE INSTRUMENT BUMPER,Solo Guitar,Dm,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a039,SIB Desert Ride,C27a,,SINGLE INSTRUMENT BUMPER,Solo Guitar,Am,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a040,SIB Desert Showdown,C27a,,SINGLE INSTRUMENT BUMPER,Guitar,Em,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a041,SIB Doo Doo Loooo,C27a,,SINGLE INSTRUMENT BUMPER,Guitar,A,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a042,SIB Dramatic Bendy,C27a,,SINGLE INSTRUMENT BUMPER,Guitar,Em,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a043,SIB Electric Shanty,C27a,,SINGLE INSTRUMENT BUMPER,Guitar,Em,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
C27a044,SIB Electrified Pickin,C27a,,SINGLE INSTRUMENT BUMPER,Guitar,Gm,,Single Instrument bumper perfect for subtle scene changes,2026-06-19
